"SiO2"	"Al2O3"	"Fe2O3"	"CaO"	"MgO"	"Na2O"	"K2O"
20.51	4.41	1.84	38.83	1.17	0.35	0.79
16.97	3.77	1.57	41.58	1.02	0.34	0.69
15.8	3.51	1.67	42.77	0.93	0.39	0.69
16.29	3.63	1.55	42.24	0.87	0.38	0.69
18.08	3.89	1.64	40.91	0.85	0.4	0.72
16.74	3.32	1.41	43.31	0.8	0.34	0.67
18.02	4.04	1.69	40.81	0.94	0.39	0.76
16.12	3.2	1.34	42.89	0.74	0.33	0.63
16.64	3.2	1.38	43.72	0.78	0.33	0.63
12.15	2.41	1.01	45.92	0.66	0.3	0.52
14.15	2.91	1.25	44.19	0.82	0.31	0.62
14.8	2.53	1.06	44.09	0.67	0.32	0.54
14.13	3.18	1.25	44.05	0.79	0.34	0.64
11.29	2.36	0.97	46.41	0.71	0.29	0.53
11.63	2.65	1.06	45.92	0.74	0.31	0.58
13.81	2.8	1.13	44.39	0.81	0.6	0.08
14.73	2.9	1.22	43.76	0.86	0.33	0.63
16.88	2.78	1.15	43	0.67	0.32	0.6
14.82	3.04	1.23	43.71	0.86	0.35	0.63
16.2	2.95	1.19	43.05	0.83	0.35	0.62
16.58	3.52	1.39	42.11	0.95	0.35	0.7
17.46	3.94	1.57	41.3	1.05	0.36	0.79
21.72	3.88	1.58	39.1	0.92	0.35	0.79
13.75	2.06	0.91	45.72	0.69	0.25	0.51
8.54	1.85	0.76	48.12	1.09	0.24	0.49
3.82	1.17	0.49	50.6	1.84	0.22	0.43
15.28	3.79	1.74	42.3	1.26	0.27	0.71
20.44	4.91	2.22	38.08	1.22	0.26	0.83
20.44	5.48	2.84	37.15	1.59	0.28	0.93
29.17	2.8	1.6	35.07	1.02	0.28	0.64
26.38	4.62	2.06	35.71	1.18	0.28	1.09
18.94	3.94	1.88	39.81	1.16	0.19	0.72
14.44	3.29	1.48	43.56	0.96	0.25	0.5
18.97	4.02	1.85	37.73	1.14	0.25	0.99
20.51	4.38	1.87	39.09	1.04	0.24	0.83
16.89	3.52	1.7	42.29	1	0.21	0.58
18.31	3.61	1.6	41.05	1.01	0.25	0.63
17.09	3.33	1.55	41.91	1.05	0.24	0.62
18.56	3.45	1.59	41.04	1.18	0.31	0.77
18.53	3.67	1.75	41.08	1.07	0.21	0.74
19.8	3.74	1.75	40.3	1.06	0.18	0.53
17.18	3.79	1.65	41.35	1.04	0.24	0.71
16.17	3.47	1.36	42.36	0.85	0.29	0.7
20.71	4.63	2.05	38.39	1.26	0.18	0.8
20.11	4.06	1.8	39.29	1.17	0.18	0.76
24.3	4.54	2.01	36.41	1.31	0.2	0.81
17.18	3.47	1.49	41.98	1.01	0.21	0.64
17.32	3.56	1.51	41.67	1.02	0.25	0.62
17.58	3.6	1.49	41.46	0.95	0.24	0.67
18.84	3.75	1.71	40.37	1.15	0.24	0.7
17.58	3.58	1.59	41.35	1.04	0.27	0.67
20.57	4.24	1.97	38.68	1.02	0.18	0.81
16.97	3.3	1.45	41.9	1.04	0.26	0.62
16.68	3.56	1.59	42.01	1.09	0.28	0.54
16.78	3.53	1.41	42.2	1.01	0.37	0.64
15.17	2.97	1.32	43.55	0.9	0.28	0.88
19.22	4.28	1.91	39.4	1.35	0.26	0.89
17.61	3.32	1.4	41.76	1.06	0.37	0.65
18.95	4.14	1.64	40.33	1.03	0.39	0.79
24.03	4.75	2.1	36.04	1.19	0.31	1
16.55	2.97	1.24	42.91	0.96	0.38	0.62
18.62	3.65	1.55	40.72	1.1	0.39	0.73
16.74	3.5	1.58	41.88	1.11	0.37	0.62
16.79	3.2	1.4	42.46	0.84	0.36	0.48
21.61	4.56	2.06	37.71	1.25	0.33	0.55
17.13	3.59	1.66	41.24	1.24	0.44	0.83
16.18	3.08	1.41	42.67	0.85	0.39	0.69
22.69	4.6	2.16	36.75	0.97	0.33	1.14
16.55	3.25	1.5	42.32	0.97	0.54	0.98
17.41	3.82	1.68	40.85	1.18	0.26	0.79
16.47	3.32	1.47	42.28	1	0.37	0.64
17.13	3.58	1.56	41.63	1.12	0.35	0.76
24.28	4.67	2.17	36.04	1.28	0.31	1.05
16.85	3.7	1.54	41.92	1.03	0.38	0.82
16.61	2.66	1.15	43.32	0.87	0.3	0.59
14.78	2.94	1.25	43.92	0.93	0.44	0.69
14.91	2.57	1.21	43.82	0.92	0.37	0.68
13.34	2.62	1.11	44.99	0.86	0.24	0.61
20.8	4.41	1.89	38.11	1.58	0.54	1.11
13.18	2.52	1.14	45.12	0.86	0.26	0.58
13.72	2.77	1.05	44.53	0.99	0.29	0.6
12.78	2.7	1.01	45.37	0.82	0.26	0.53
13.43	2.88	1.13	45.04	0.62	0.29	0.61
13.66	2.86	1.1	44.64	1.01	0.32	0.59
17.63	3.29	1.39	41.84	1.03	0.28	0.73
14.54	2.66	1.11	44.44	0.85	0.28	0.56
17.73	3.28	1.36	41.74	1.05	0.32	0.66
15.1	2.66	1.12	44.19	0.84	0.25	0.5
12.99	2.63	1.06	45.27	0.99	0.24	0.49
11.51	2.33	0.96	46.43	0.83	0.36	0.5
12.29	2.59	1.08	45.62	0.85	0.32	0.56
18.75	4.02	1.64	40.36	1.21	0.37	1.02
12.15	2.39	0.95	46.22	0.89	0.29	0.54
13.47	2.83	1.1	44.96	1.03	0.31	0.62
19.05	4.2	1.76	39.93	1.33	0.46	0.95
16.64	3.56	1.48	41.91	1	0.39	0.68
15.29	3.02	1.24	43.44	0.86	0.36	0.6
11.87	2.5	1	46.12	0.76	0.29	0.51
12.13	2.39	0.99	45.99	0.84	0.27	0.47
12.44	2.66	1.03	45.51	0.85	0.29	0.52
16.01	3.42	1.4	42.61	0.93	0.35	0.58
15.77	3.14	1.29	43.13	0.82	0.38	0.65
22.9	4.54	1.96	37.24	1.2	0.34	0.87
19.52	3.87	1.61	39.9	1.14	0.44	0.81
16.9	3.11	1.34	42.51	0.81	0.41	0.68
14.81	3.12	1.26	43.6	0.92	0.33	0.63
12.95	2.73	1.03	45.35	0.88	0.32	0.57
11.4	2.54	0.96	46.52	0.87	0.3	0.5
17.58	3.62	1.42	41.62	1.16	0.41	0.66
16.61	3.35	1.23	42.85	0.84	0.39	0.62
23.27	4.68	1.94	37	1.39	0.39	0.95
17.58	3.62	1.48	41.48	1.27	0.36	0.66
22.36	4.35	1.75	35.88	2.2	0.47	0.84
18.09	3.69	1.35	39.22	1.96	0.52	0.71
23.91	5.25	2.43	36.01	1.24	0.5	1.03
14.21	2.99	1.3	44.47	0.9	0.43	0.62
19.41	4.1	1.85	39.62	1.22	0.29	0.85
16.89	3.82	1.67	41.7	1.06	0.36	0.79
14.21	2.99	1.3	44.47	0.9	0.43	0.62
19.41	4.1	1.85	39.62	1.22	0.29	0.85
16.89	3.82	1.67	41.7	1.06	0.36	0.79
14.97	3.23	1.32	43.59	0.91	0.21	0.73
19.28	4.11	1.82	40.03	1.09	0.16	0.78
14.6	2.96	1.32	43.7	0.95	0.28	0.62
16.74	3.5	1.56	41.83	1.03	0.29	0.63
20.08	3.98	1.8	39.44	0.99	0.25	0.69
14.48	2.88	1.31	43.78	0.87	0.3	0.55
16.85	3.49	1.57	41.78	0.98	0.33	0.66
20.2	3.9	1.85	39.16	1.1	0.24	0.75
