Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
Norway,Nicosia,Copenhagen,St. Peter Port,Oslo,4
Greece,Budapest,Athens,Douglas,Dublin,2
Åland Islands,Vienna,Bern,Minsk,Mariehamn,4
Switzerland,Douglas,Bern,Moscow,Tallinn,2
Croatia,Kyiv,Riga,Rome,Zagreb,4
Iceland,Longyearbyen,Chișinău,Reykjavik,Bern,3
Luxembourg,Longyearbyen,Luxembourg,St. Peter Port,Bratislava,2
Hungary,Bern,Sofia,Budapest,Andorra la Vella,3
Netherlands,Amsterdam,Podgorica,Moscow,Oslo,1
Lithuania,Nicosia,Athens,Vilnius,Prague,3
Slovakia,Bratislava,Copenhagen,Pristina,Monaco,1
Liechtenstein,Vaduz,Minsk,Sofia,Paris,1
Moldova,Copenhagen,Chișinău,Reykjavik,City of San Marino,2
Italy,Amsterdam,Vilnius,Sofia,Rome,4
Jersey,Saint Helier,Paris,Reykjavik,Pristina,1
Monaco,Riga,London,Pristina,Monaco,4
Belarus,Lisbon,Douglas,Longyearbyen,Minsk,4
Latvia,Brussels,Madrid,Ljubljana,Riga,4
Andorra,Andorra la Vella,Belgrade,Madrid,Oslo,1
France,Douglas,Tallinn,Moscow,Paris,4
Gibraltar,Mariehamn,Gibraltar,Bern,Vienna,2
Denmark,Copenhagen,Minsk,Budapest,Andorra la Vella,1
North Macedonia,Tallinn,Reykjavik,Longyearbyen,Skopje,4
Malta,Podgorica,Valletta,Berlin,Warsaw,2
Czechia,Dublin,Saint Helier,Copenhagen,Prague,4
Guernsey,Prague,Athens,St. Peter Port,Stockholm,3
Kosovo,Berlin,St. Peter Port,Pristina,Bratislava,3
Svalbard and Jan Mayen,Lisbon,Longyearbyen,London,Stockholm,2
Montenegro,Podgorica,Tirana,Moscow,Athens,1
Faroe Islands,Budapest,Lisbon,Tórshavn,Bratislava,3
Albania,Tirana,Ljubljana,Dublin,Douglas,1
Serbia,Andorra la Vella,Warsaw,City of San Marino,Belgrade,4
Ukraine,Bratislava,Madrid,Chișinău,Kyiv,4
Isle of Man,Douglas,Kyiv,Bratislava,Sarajevo,1
Estonia,Vatican City,Dublin,Tallinn,Reykjavik,3
Romania,Sarajevo,Tallinn,Longyearbyen,Bucharest,4
Bulgaria,Athens,Sofia,Tórshavn,Paris,2
Germany,Dublin,Berlin,City of San Marino,Vilnius,2
Poland,Pristina,Warsaw,Helsinki,Athens,2
United Kingdom,London,Skopje,Bratislava,Copenhagen,1
Finland,Brussels,Tirana,Bucharest,Helsinki,4
Sweden,Ljubljana,Warsaw,Bern,Stockholm,4
Vatican City,Valletta,Vatican City,Lisbon,Sarajevo,2
Russia,Belgrade,Dublin,Moscow,Brussels,3
Austria,Tallinn,Berlin,Douglas,Vienna,4
Cyprus,Dublin,Nicosia,Helsinki,Valletta,2
Portugal,Dublin,Lisbon,Vaduz,Stockholm,2
Bosnia and Herzegovina,Sarajevo,Stockholm,Brussels,Paris,1
Belgium,Bucharest,Brussels,Skopje,Vaduz,2
Spain,Madrid,Valletta,Lisbon,Tórshavn,1
Slovenia,Budapest,Ljubljana,Dublin,Mariehamn,2
San Marino,Monaco,St. Peter Port,Tirana,City of San Marino,4
Ireland,Dublin,Bratislava,Nicosia,Warsaw,1
